vehicle_key,auto_id,vin,make,year,transmission,owner_id,effective_date,end_date,is_current
30,30,UXO8LUK75DYL9WZLK,Contoso Motors,2015,Automatic,30,2026-05-22,,True
31,31,XYDBXU9MA5XXPPQR0,Contoso Motors,2016,Automatic,31,2026-05-22,,True
32,32,JF1GH6B60BG81026,Contoso Motors,2017,Manual,81,2026-05-22,,True
33,33,AVHD2GCOA2NN5ES9J,Contoso Motors,2016,Automatic,85,2026-05-22,,True
34,34,ZVTOCRLBYKEB1Y5L9,Contoso Motors,2015,Automatic,34,2026-05-22,,True
35,35,RXB14GHQFO3PUYKNS,Contoso Motors,2005,Manual,565,2026-05-22,,True
36,36,0125DITL7HX8TYA6T,Contoso Motors,2016,Automatic,386,2026-05-22,,True
37,37,5199WY00VHB6G0WDW,Contoso Motors,2016,Manual,770,2026-05-22,,True
38,38,HOVSW338LVHWN2KVR,Contoso Motors,2007,Manual,830,2026-05-22,,True
39,39,BPMFLFF6LNYIOMAVX,Contoso Motors,2005,Automatic,22,2026-05-22,,True
40,40,LTZFCUSVPFQ4W7Z4J,Contoso Motors,2007,Automatic,642,2026-05-22,,True
41,41,6R0Q5GZP90RLBIZSF,Contoso Motors,2004,Automatic,761,2026-05-22,,True
42,42,8UW5Z294E0NJMJPLJ,Contoso Motors,2015,Automatic,530,2026-05-22,,True
43,43,2MVDG47OQ3G5I49FK,Contoso Motors,2013,Automatic,770,2026-05-22,,True
44,44,60G4SUPG5KNFU3ZYS,Contoso Motors,2016,Automatic,44,2026-05-22,,True
45,45,0IBN9W4FLJTNDM6G4,Contoso Motors,2011,Automatic,45,2026-05-22,,True
46,46,Q0OIIVH166MJM9SRH,Contoso Motors,2004,Automatic,280,2026-05-22,,True
47,47,1YMDHCCKY6126ZU1K,Contoso Motors,2009,Automatic,394,2026-05-22,,True
48,48,9RPS1HJG9D1LBEQQH,Contoso Motors,2011,Automatic,881,2026-05-22,,True
49,49,0PLKJAYEVRA6NRU0J,Contoso Motors,2011,Automatic,328,2026-05-22,,True
50,50,5PDU8WYEFFGO40HHC,Contoso Motors,2007,Manual,950,2026-05-22,,True
51,51,962GBB2WZOZXU7OMG,Contoso Motors,2012,Automatic,139,2026-05-22,,True
52,52,YNU5C8YZYT7DOYXQ8,Contoso Motors,2016,Automatic,52,2026-05-22,,True
53,53,BTV19HPRPU7RWICET,Contoso Motors,2016,Automatic,398,2026-05-22,,True
54,54,MHTP9N792PHK08WJM,Contoso Motors,2005,Automatic,6,2026-05-22,,True
55,55,J9RO51ZXXUSHUT13B,Contoso Motors,2012,Automatic,502,2026-05-22,,True
56,56,UE6D2HW9H7KUFMFFO,Contoso Motors,2015,Automatic,56,2026-05-22,,True
57,57,HKTHWDDMML03RMZPR,Contoso Motors,2013,Manual,267,2026-05-22,,True
58,58,W7ZXWIK8O86SZGH9G,Contoso Motors,2013,Semi-Automatic,58,2026-05-22,,True
59,59,9T9VSN0FI93R6HTIT,Contoso Motors,2014,Automatic,1,2026-05-22,,True
60,60,HHP8M4ES04246X7B6,Contoso Motors,2007,Automatic,147,2026-05-22,,True
61,61,H0BRZNH49CP43HKN1,Contoso Motors,2005,Manual,10,2026-05-22,,True
62,62,UHK4NJMODN4CJ8N1Q,Contoso Motors,2013,Manual,154,2026-05-22,,True
63,63,GTL07WURKAEBZO7KO,Contoso Motors,2007,Manual,214,2026-05-22,,True
64,64,92S177DVXRBE1PK45,Contoso Motors,2016,Automatic,523,2026-05-22,,True
65,65,OIERM0565QG99HAN9,Contoso Motors,2015,Automatic,266,2026-05-22,,True
66,66,7O2VKAE0FELJG5ELK,Contoso Motors,2016,Automatic,650,2026-05-22,,True
67,67,UXXQX95MAJ1FHJRFA,Contoso Motors,2011,Manual,651,2026-05-22,,True
68,68,A3FQXISX6GIN2G6M2,Contoso Motors,2013,Semi-Automatic,68,2026-05-22,,True
69,69,3BY5XUUAB7MS5BOUQ,Contoso Motors,2013,Automatic,54,2026-05-22,,True
70,70,926ORRXDY9J83POLE,Contoso Motors,2012,Automatic,535,2026-05-22,,True
71,71,V5UOQH37Z6ZUQEVOA,Contoso Motors,2013,Automatic,71,2026-05-22,,True
72,72,EMUKPWIQTTZ8XDAKV,Contoso Motors,2007,Automatic,534,2026-05-22,,True
73,73,A1LCTSY2WHBDL4RXY,Contoso Motors,2005,Automatic,582,2026-05-22,,True
74,74,ZPGYKO3SW7RC58YUZ,Contoso Motors,2015,Automatic,74,2026-05-22,,True
75,75,K0GMEOI4V7EHGGAR6,Contoso Motors,2009,Automatic,734,2026-05-22,,True
76,76,UOUFX6BWC4G2NU4OA,Contoso Motors,2013,Automatic,76,2026-05-22,,True
77,77,XF1QTSNCM8M3SKNRX,Contoso Motors,2016,Automatic,782,2026-05-22,,True
78,78,HOE5ERNKHQA06CAL9,Contoso Motors,2015,Automatic,78,2026-05-22,,True
79,79,ST95EH8B8NNG34EE3,Contoso Motors,2013,Automatic,79,2026-05-22,,True
80,80,TEE607XTPSEPGIOW0,Contoso Motors,2004,Automatic,80,2026-05-22,,True
81,81,SNCE1JI16ORA8TZJ6,Contoso Motors,2015,Automatic,81,2026-05-22,,True
82,82,JCGOM1OM7DNYJW6Y9,Contoso Motors,2007,Automatic,82,2026-05-22,,True
83,83,HW67MDOKG6X824CLF,Contoso Motors,2010,Manual,334,2026-05-22,,True
84,84,HYP1FSUQ6NQUMLBE5,Contoso Motors,2006,Automatic,575,2026-05-22,,True
85,85,6QSTEN3L3M3CZWPKO,Contoso Motors,2015,Manual,394,2026-05-22,,True
86,86,W0RXEHZ32SJB3VDX4,Contoso Motors,2014,Manual,573,2026-05-22,,True
87,87,RY3FMAG69XTBL0KTX,Contoso Motors,2015,Automatic,992,2026-05-22,,True
88,88,9QATZSVHST426DAG1,Contoso Motors,2004,Automatic,889,2026-05-22,,True
89,89,CP6TW23WUH9ZHH8GT,Contoso Motors,2015,Manual,820,2026-05-22,,True
90,90,VXE1D06K67MWOWEJ3,Contoso Motors,2016,Automatic,822,2026-05-22,,True
91,91,GHRJAC7PDRUQ960AF,Contoso Motors,2014,Manual,848,2026-05-22,,True
92,92,449PLM0RCNHZ6YHO5,Contoso Motors,2015,Automatic,888,2026-05-22,,True
93,93,Q7HBIZ6T7172QJP0U,Contoso Motors,2016,Manual,800,2026-05-22,,True
94,94,90LR6IH70DMQNV245,Contoso Motors,2016,Automatic,801,2026-05-22,,True
95,95,G45XN4SW529YCKBST,Contoso Motors,2013,Automatic,959,2026-05-22,,True
96,96,Z94AOEKMF6Q9K32LQ,Contoso Motors,2011,Automatic,129,2026-05-22,,True
97,97,4ZV9MBVJL7K1540ZL,Contoso Motors,2011,Automatic,41,2026-05-22,,True
98,98,JB5IZCJJCS4DSPQQM,Contoso Motors,2007,Manual,693,2026-05-22,,True
99,99,6XXVJMY80S4CHSUKW,Contoso Motors,2015,Automatic,2,2026-05-22,,True
100,100,6QLISR018O06X8K44,Contoso Motors,2015,Automatic,100,2026-05-22,,True
101,101,L6JHAWNP1IXGNF0SP,Contoso Motors,2004,Automatic,43,2026-05-22,,True
102,102,YQIIQJAOQW46KX2KS,Contoso Motors,2007,Automatic,45,2026-05-22,,True
103,103,MYVBR1ANM44W9A8ZN,Contoso Motors,2012,Automatic,598,2026-05-22,,True
104,104,OXPVYJT8F5CV0QETY,Contoso Motors,2016,Automatic,104,2026-05-22,,True
105,105,FO6IFCLO0J6QWI428,Contoso Motors,2016,Manual,275,2026-05-22,,True
106,106,HQ966AF5RI70ST3Y6,Contoso Motors,2013,Semi-Automatic,106,2026-05-22,,True
107,107,X41MAQ673N3V5XWEG,Contoso Motors,2015,Automatic,274,2026-05-22,,True
108,108,OBY5PK2DEXG66GXJG,Contoso Motors,2007,Automatic,11,2026-05-22,,True
109,109,VHA71CU9U064O5HEE,Contoso Motors,2016,Manual,958,2026-05-22,,True
110,110,84CFOIJACQGPF9ZDL,Contoso Motors,2007,Manual,18,2026-05-22,,True
111,111,CLARVXUPYK83L0UMN,Contoso Motors,2013,Manual,78,2026-05-22,,True
112,112,VJ5B73VXKJGZWDG0B,Contoso Motors,2006,Automatic,147,2026-05-22,,True
113,113,N2S4F51PGIFY8KK2Z,Contoso Motors,2007,Automatic,395,2026-05-22,,True
114,114,XZQSSPJVU0SM7MLWL,Contoso Motors,2004,Automatic,635,2026-05-22,,True
115,115,XMMHB1HUHLP2FEM3Z,Contoso Motors,2006,Manual,883,2026-05-22,,True
116,116,CBBAZP0M5MBYTXLF3,Contoso Motors,2013,Semi-Automatic,116,2026-05-22,,True
117,117,5L2GJRKV27YOM6Z3R,Contoso Motors,2016,Automatic,55,2026-05-22,,True
118,118,JVITFBM1K8F6P8O0H,Contoso Motors,2012,Automatic,631,2026-05-22,,True
119,119,0LYX3XH2KQYH4N1HH,Contoso Motors,2016,Automatic,119,2026-05-22,,True
120,120,AD91ZJFRBAZDLZEHD,Contoso Motors,2007,Automatic,62,2026-05-22,,True
121,121,KCF1B6NPOS4RDK0HR,Contoso Motors,2004,Automatic,65,2026-05-22,,True
122,122,VVR5QYAX0BY9F80GL,Contoso Motors,2015,Automatic,122,2026-05-22,,True
123,123,84WCQ14XBWR8VNEY6,Contoso Motors,2011,Automatic,69,2026-05-22,,True
124,124,SV94DVYSPT74V7ROW,Contoso Motors,2004,Automatic,124,2026-05-22,,True
125,125,CM6WVRC0NHBFWEITJ,Contoso Motors,2005,Automatic,70,2026-05-22,,True
126,126,141PHXSEFBVZ60Z6U,Contoso Motors,2007,Automatic,126,2026-05-22,,True
127,127,PRUQC9HEW3JMSEYZL,Contoso Motors,2016,Automatic,127,2026-05-22,,True
128,128,VVL9DCWP2BR82PVZT,Contoso Motors,2011,Automatic,128,2026-05-22,,True
129,129,12H3A1VTFIBICG08V,Contoso Motors,2004,Automatic,129,2026-05-22,,True
130,130,LW0D9X0CSULXMVFW8,Contoso Motors,2005,Automatic,130,2026-05-22,,True
131,131,9PZJ20GGBXZNHUWEJ,Contoso Motors,2013,Manual,342,2026-05-22,,True
132,132,DU8GQ0ORH2QR7MYL6,Contoso Motors,2014,Automatic,155,2026-05-22,,True
133,133,0D94JQQVVLFJHGWG3,Contoso Motors,2007,Manual,402,2026-05-22,,True
134,134,P7178468GYLAA3O81,Contoso Motors,2005,Manual,462,2026-05-22,,True
135,135,HYY0HVD6WBPS62RQL,Contoso Motors,2011,Automatic,85,2026-05-22,,True
136,136,YIACHKQLKD47DJ7GZ,Contoso Motors,2016,Automatic,779,2026-05-22,,True
137,137,T5E2KFO1FDN6M7WCH,Contoso Motors,2005,Automatic,882,2026-05-22,,True
138,138,P6GN82OKKZUINQJMH,Contoso Motors,2011,Automatic,387,2026-05-22,,True
139,139,IHJIZ2RW4KTMKJNJP,Contoso Motors,2016,Automatic,395,2026-05-22,,True
140,140,TV6LN1B3KPQJEH1TZ,Contoso Motors,2016,Automatic,140,2026-05-22,,True
141,141,Z20AU24O1TLEW8IJ7,Contoso Motors,2011,Automatic,141,2026-05-22,,True
142,142,RUVB2F10GV9F5KEGZ,Contoso Motors,2005,Automatic,88,2026-05-22,,True
143,143,01MWFV89QBUM2NDIH,Contoso Motors,2013,Automatic,531,2026-05-22,,True
144,144,CC9O3GNGXD4IYVHZL,Contoso Motors,2012,Automatic,19,2026-05-22,,True
145,145,RQWE40TVB2JF104UO,Contoso Motors,2007,Automatic,89,2026-05-22,,True
146,146,DB2JXBWBLCL09FJFU,Contoso Motors,2016,Manual,207,2026-05-22,,True
147,147,HUSDFMYIX8AUMMBSZ,Contoso Motors,2007,Automatic,583,2026-05-22,,True
148,148,A850GFNHN2T5ZBWLU,Contoso Motors,2016,Automatic,148,2026-05-22,,True
149,149,X87GMLMPI3N3452EH,Contoso Motors,2011,Automatic,91,2026-05-22,,True
150,150,KJTMQ3YDP3J4E0AUM,Contoso Motors,2005,Automatic,93,2026-05-22,,True
151,151,FXM5KQA4V1RLWO50C,Contoso Motors,2012,Automatic,679,2026-05-22,,True
152,152,LI496C6SXJN1DYY8R,Contoso Motors,2013,Automatic,152,2026-05-22,,True
153,153,3KU61YXFMS3SB9VYH,Contoso Motors,2007,Manual,891,2026-05-22,,True
154,154,HO0BS98YQQ93PNGOM,Contoso Motors,2013,Semi-Automatic,154,2026-05-22,,True
155,155,MCSX0IY7P1G69F443,Contoso Motors,2007,Automatic,643,2026-05-22,,True
156,156,X7MUMNEC7K6AVZTA8,Contoso Motors,2014,Automatic,771,2026-05-22,,True
157,157,0NJ3E4WL55FTM9EJ6,Contoso Motors,2015,Manual,386,2026-05-22,,True
158,158,G8VIZT4JT1BG4XGEZ,Contoso Motors,2005,Manual,446,2026-05-22,,True
159,159,9SYGOXZYVTWS1RXQR,Contoso Motors,2016,Manual,515,2026-05-22,,True
160,160,AIMYX6V6VUQQ6NJBO,Contoso Motors,2016,Automatic,967,2026-05-22,,True
161,161,16K43B9EXZJ2XJTPJ,Contoso Motors,2005,Automatic,890,2026-05-22,,True
162,162,HS8OGPYC88OR70ELE,Contoso Motors,2006,Automatic,27,2026-05-22,,True
163,163,74J2KIPUKN126DB68,Contoso Motors,2004,Manual,131,2026-05-22,,True
164,164,3MLZGU0B95D1V3MZS,Contoso Motors,2013,Semi-Automatic,164,2026-05-22,,True
165,165,N81KF5CPUBAPCNID8,Contoso Motors,2013,Automatic,103,2026-05-22,,True
166,166,5YHTI7I7HUGG0QAU7,Contoso Motors,2012,Automatic,694,2026-05-22,,True
167,167,FBQ93S6GERDWDGI3B,Contoso Motors,2013,Automatic,167,2026-05-22,,True
168,168,JLUW83P79X3MWNGQ3,Contoso Motors,2005,Automatic,110,2026-05-22,,True
169,169,QJ30CU7JAYM60OIG4,Contoso Motors,2011,Automatic,113,2026-05-22,,True
170,170,BTQDYNLSULF1I6XSY,Contoso Motors,2011,Automatic,170,2026-05-22,,True
171,171,5DD9KEOGLLIQ68U1V,Contoso Motors,2004,Automatic,117,2026-05-22,,True
172,172,VXPIIX3G3WFJQQGJP,Contoso Motors,2011,Automatic,172,2026-05-22,,True
173,173,FJ80LSTGDWVA9R23E,Contoso Motors,2005,Automatic,158,2026-05-22,,True
174,174,2OFBAAU8GA3IORDDJ,Contoso Motors,2005,Automatic,174,2026-05-22,,True
175,175,9J2KVIVC0M0MX0C7J,Contoso Motors,2007,Automatic,175,2026-05-22,,True
176,176,DW8HNGPJFSUCSJQ45,Contoso Motors,2016,Automatic,176,2026-05-22,,True
177,177,HM2PUCY2VW99H5LJP,Contoso Motors,2011,Automatic,177,2026-05-22,,True
178,178,ZV6LW5PM03ILMLXQ8,Contoso Motors,2005,Automatic,178,2026-05-22,,True
179,179,O49ITMGKTW81HWWV1,Contoso Motors,2007,Manual,566,2026-05-22,,True
180,180,M7SFAP1ED7VNVNWXF,Contoso Motors,2015,Automatic,10,2026-05-22,,True
181,181,KYCXVEM3JY5QN6JCU,Contoso Motors,2013,Manual,626,2026-05-22,,True
182,182,6M8D18I4CCYRZH4LO,Contoso Motors,2016,Manual,831,2026-05-22,,True
183,183,36NUFUIMP760EPS2D,Contoso Motors,2009,Automatic,262,2026-05-22,,True
184,184,XUE4MP2SHKKTSPQBB,Contoso Motors,2009,Automatic,130,2026-05-22,,True
185,185,GHLUB6ONKMOSI7E77,Contoso Motors,2014,Automatic,11,2026-05-22,,True
186,186,JEVBYNRKCFY0AXG4M,Contoso Motors,2016,Automatic,19,2026-05-22,,True
187,187,DXWRKFLC7Z7DIB5B9,Contoso Motors,2004,Automatic,395,2026-05-22,,True
188,188,1SZ0YBL52GH4DU6R4,Contoso Motors,2015,Automatic,188,2026-05-22,,True
189,189,6PQGV44MP0RW7K19T,Contoso Motors,2004,Automatic,189,2026-05-22,,True
190,190,G6X4F0WSMSM8R3RN0,Contoso Motors,2016,Automatic,310,2026-05-22,,True
191,191,DSMFG6SQSPZG5TK43,Contoso Motors,2013,Automatic,403,2026-05-22,,True
192,192,2UM8372QJ1AUJ4V9H,Contoso Motors,2016,Automatic,251,2026-05-22,,True
193,193,W9FTHG27LZN1YWO0Y,Contoso Motors,2004,Automatic,5,2026-05-22,,True
194,194,C3TJEP9O4OHLFOYEK,Contoso Motors,2004,Manual,899,2026-05-22,,True
195,195,YDBOVMH3U2UZT76UA,Contoso Motors,2007,Automatic,191,2026-05-22,,True
196,196,TSH5CTQ742NK69LT0,Contoso Motors,2005,Automatic,196,2026-05-22,,True
197,197,8OMCL3LGI7XNCC21U,Contoso Motors,2014,Automatic,29,2026-05-22,,True
198,198,U30I1WB31T9XBKCMY,Contoso Motors,2011,Automatic,53,2026-05-22,,True
199,199,550JLST7HPQGU70AN,Contoso Motors,2012,Automatic,742,2026-05-22,,True
200,200,1SJG95N3TFJLZL4CY,Contoso Motors,2004,Automatic,200,2026-05-22,,True
201,201,M3T7ZNZQJDDLJ7XQ9,Contoso Motors,2005,Manual,345,2026-05-22,,True
202,202,MGQP7XL2GZFICD0QY,Contoso Motors,2013,Semi-Automatic,202,2026-05-22,,True
203,203,K3HRWTZJT22XAPRBY,Contoso Motors,2010,Automatic,498,2026-05-22,,True
204,204,XI9TFYQUDKQWA44IS,Contoso Motors,2013,Automatic,387,2026-05-22,,True
205,205,JVBSIRUIUUIRT2Z3A,Contoso Motors,2013,Manual,215,2026-05-22,,True
206,206,U3Q20OC4V7OVZQD64,Contoso Motors,2013,Automatic,523,2026-05-22,,True
207,207,3RULDLY2XJX5W03EH,Contoso Motors,2015,Automatic,574,2026-05-22,,True
208,208,ANNL32RN5YYDC1616,Contoso Motors,2005,Automatic,618,2026-05-22,,True
209,209,8KQI9U6PZ45G0G46X,Contoso Motors,2013,Automatic,259,2026-05-22,,True
210,210,IEYRW40VBV7K32V6L,Contoso Motors,2015,Automatic,746,2026-05-22,,True
211,211,AAJQER5038Q78UOTV,Contoso Motors,2004,Manual,489,2026-05-22,,True
212,212,SZVVERBWRBYG17PTU,Contoso Motors,2013,Semi-Automatic,212,2026-05-22,,True
213,213,PGCWPNBZ6LQ21PF9T,Contoso Motors,2014,Automatic,77,2026-05-22,,True
214,214,2F542XPU60LRXCNNQ,Contoso Motors,2012,Automatic,790,2026-05-22,,True
215,215,LP9A6PXHGPDYCT154,Contoso Motors,2016,Automatic,215,2026-05-22,,True
216,216,9IHEP7L28HBMWVEY7,Contoso Motors,2013,Automatic,123,2026-05-22,,True
217,217,RQ32V8PDJTE5UQSHQ,Contoso Motors,2006,Automatic,135,2026-05-22,,True
218,218,KFMFVCNXDSN30IXN0,Contoso Motors,2005,Automatic,218,2026-05-22,,True
219,219,351ZSO5XWXYCUVQQ6,Contoso Motors,2010,Automatic,171,2026-05-22,,True
220,220,KULCBKCPR7KCYNL57,Contoso Motors,2016,Automatic,220,2026-05-22,,True
221,221,H89VPI708KGT4QQJR,Contoso Motors,2011,Automatic,557,2026-05-22,,True
222,222,ZV42JTYUZYXLS0H7C,Contoso Motors,2005,Automatic,222,2026-05-22,,True
223,223,SH0L79SV2VCIO9ZTF,Contoso Motors,2006,Automatic,223,2026-05-22,,True
224,224,Z3YMNSOQZ4UBN5APB,Contoso Motors,2007,Automatic,224,2026-05-22,,True
225,225,DRT0Q802HU1LZCI3T,Contoso Motors,2004,Automatic,225,2026-05-22,,True
226,226,PJC90C6A84L8CREMC,Contoso Motors,2005,Automatic,226,2026-05-22,,True
227,227,QXZKFBIB1W26O5FAE,Contoso Motors,2005,Automatic,634,2026-05-22,,True
228,228,8FVWUY730VQZF3XOV,Contoso Motors,2014,Automatic,627,2026-05-22,,True
229,229,G6RY4WQF149EB309W,Contoso Motors,2016,Automatic,694,2026-05-22,,True
230,230,ZZJUOWYKRXM8J0HOL,Contoso Motors,2006,Automatic,763,2026-05-22,,True
231,231,217YAFI9N5U8ERPL0,Contoso Motors,2005,Automatic,709,2026-05-22,,True
232,232,2559R3T5JMAMOQCYW,Contoso Motors,2011,Automatic,267,2026-05-22,,True
233,233,39GWXOGV27KIR9CZF,Contoso Motors,2007,Automatic,48,2026-05-22,,True
234,234,N7E1ZLIBFDRZUY1F9,Contoso Motors,2007,Automatic,763,2026-05-22,,True
235,235,7Z63SN96WUO9078UC,Contoso Motors,2013,Automatic,3,2026-05-22,,True
236,236,CR8AEJHPJPX0RFDJT,Contoso Motors,2016,Automatic,236,2026-05-22,,True
237,237,6KG3RFCNVM8D5XAU6,Contoso Motors,2011,Automatic,237,2026-05-22,,True
238,238,RMMFWD5RYX9QPR2O1,Contoso Motors,2011,Automatic,733,2026-05-22,,True
239,239,EOFJ9EE8WHS5576FJ,Contoso Motors,2014,Automatic,199,2026-05-22,,True
240,240,O3FNJ4LMVTQ460NE3,Contoso Motors,2005,Automatic,113,2026-05-22,,True
241,241,OEEU3LFOJYUECCAY2,Contoso Motors,2004,Automatic,757,2026-05-22,,True
242,242,NIBPFRW6PF3AJYC78,Contoso Motors,2007,Automatic,907,2026-05-22,,True
243,243,7B4PZSBEHHGQ9TL4G,Contoso Motors,2005,Automatic,626,2026-05-22,,True
244,244,36A60Q4A10EZSSUAF,Contoso Motors,2004,Automatic,244,2026-05-22,,True
245,245,JQ6T0KZ77C142FJS2,Contoso Motors,2007,Automatic,781,2026-05-22,,True
246,246,YBCR5S7UHQTERSRBP,Contoso Motors,2007,Automatic,803,2026-05-22,,True
247,247,ID4NDGXOUECEEMCSP,Contoso Motors,2012,Automatic,838,2026-05-22,,True
248,248,GGMI6EAOC7T5DPOBB,Contoso Motors,2011,Automatic,248,2026-05-22,,True
249,249,W480F2A76XNQYE8ZR,Contoso Motors,2007,Manual,499,2026-05-22,,True
250,250,DZ42BCLDOEMFZ6MIG,Contoso Motors,2013,Semi-Automatic,250,2026-05-22,,True
251,251,7NNQ0XE3WYY1STK76,Contoso Motors,2007,Automatic,114,2026-05-22,,True
252,252,U4AS6E41OZTT9F8PQ,Contoso Motors,2012,Automatic,635,2026-05-22,,True
253,253,D284BARJKP9IH5RPO,Contoso Motors,2014,Automatic,79,2026-05-22,,True
254,254,MDVGCN46K837U7BJX,Contoso Motors,2013,Automatic,147,2026-05-22,,True
255,255,ROEKFVU4RPFJUEWL5,Contoso Motors,2007,Automatic,463,2026-05-22,,True
256,256,5OEH6YE41ZVOQXUX4,Contoso Motors,2016,Automatic,11,2026-05-22,,True
257,257,8PX8ZFK0BBI26OW1K,Contoso Motors,2016,Automatic,192,2026-05-22,,True
258,258,SOQ4O5DGEH8RY9ILH,Contoso Motors,2015,Automatic,232,2026-05-22,,True
259,259,4OGNOAI6V5FROIVFK,Contoso Motors,2004,Manual,547,2026-05-22,,True
260,260,0AWR3XIDJ1U1BMKQA,Contoso Motors,2013,Semi-Automatic,260,2026-05-22,,True
261,261,RVRUL4C54YEE6RME2,Contoso Motors,2014,Automatic,815,2026-05-22,,True
262,262,DQA4I40H1JH2L643H,Contoso Motors,2012,Automatic,967,2026-05-22,,True
263,263,29B894VC3B79UHWBP,Contoso Motors,2007,Automatic,263,2026-05-22,,True
264,264,PE6UI0UM05MWMIACN,Contoso Motors,2006,Automatic,851,2026-05-22,,True
265,265,AV9M6DEWSQUX2VB4L,Contoso Motors,2007,Automatic,863,2026-05-22,,True
266,266,9Q7NP86FNK8UMZC74,Contoso Motors,2005,Automatic,266,2026-05-22,,True
267,267,DZVFKZ3ZCSSWDFAFU,Contoso Motors,2004,Automatic,897,2026-05-22,,True
268,268,1Q2FOUKE63J7OK3LI,Contoso Motors,2007,Automatic,268,2026-05-22,,True
269,269,6P471QFZWFQHWFMKI,Contoso Motors,2014,Automatic,921,2026-05-22,,True
270,270,C27GX6BM2GYV9HX9Y,Contoso Motors,2005,Automatic,270,2026-05-22,,True
271,271,4DU5NJMFVRKIM3P1O,Contoso Motors,2012,Automatic,271,2026-05-22,,True
272,272,6BTD6NHP7DS1W7SJX,Contoso Motors,2016,Automatic,272,2026-05-22,,True
273,273,7012NSYW542KZM7WE,Contoso Motors,2011,Automatic,273,2026-05-22,,True
274,274,GYTKQ1BS38TKLCCBM,Contoso Motors,2013,Automatic,274,2026-05-22,,True
275,275,TL2YQRP3GMW2FC2KX,Contoso Motors,2009,Automatic,62,2026-05-22,,True
276,276,E8DCZDDLIWCKVCVHU,Contoso Motors,2013,Automatic,447,2026-05-22,,True
277,277,722BH1XOFDHU03YB9,Contoso Motors,2007,Automatic,131,2026-05-22,,True
278,278,CQLGZP7J9WH1B4ZRE,Contoso Motors,2005,Automatic,182,2026-05-22,,True
279,279,DBM9C43ALR2DRYF8S,Contoso Motors,2011,Automatic,945,2026-05-22,,True
280,280,Q9Y2DLKX0V567FIJN,Contoso Motors,2004,Automatic,233,2026-05-22,,True
281,281,870I604O4BXFLA721,Contoso Motors,2004,Automatic,288,2026-05-22,,True
282,282,WORG68Z2PLTNZDBI7,Contoso Motors,2006,Automatic,3,2026-05-22,,True
283,283,9C2RHVRVLMEJDBXLP,Contoso Motors,2015,Automatic,12,2026-05-22,,True
