vin,make,year,Model,auto_id,owner_id,DriveTrain,EngineType,transmission,ExteriorColor,InteriorColor,created_at,updated_at
5PDU8WYEFFGO40HHC,Contoso Motors,2007,Sedan,50,950,FWD,6 Cylinder,Manual,White Silver,Smoke White,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
962GBB2WZOZXU7OMG,Contoso Motors,2012,Hatchback,51,139,FWD,6 Cylinder,Automatic,Deep Blue,White,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
YNU5C8YZYT7DOYXQ8,Contoso Motors,2016,Minivan,52,52,FWD,6 Cylinder,Automatic,Volcanic Orange,White,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
BTV19HPRPU7RWICET,Contoso Motors,2016,SUV,53,398,FWD,Electric,Automatic,Blazing Gray,Black,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
MHTP9N792PHK08WJM,Contoso Motors,2005,SUV,54,6,AWD,Hybrid,Automatic,Blue,Black,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
J9RO51ZXXUSHUT13B,Contoso Motors,2012,Commercial,55,502,AWD,8 Cylinder,Automatic,Gray,Dark Gray,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
UE6D2HW9H7KUFMFFO,Contoso Motors,2015,Convertible 2DR,56,56,AWD,6 Cylinder,Automatic,Deep Blue,Brown,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
HKTHWDDMML03RMZPR,Contoso Motors,2013,Coupe,57,267,RWD,4 Cylinder,Manual,Midnight Black,Silverstone,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
W7ZXWIK8O86SZGH9G,Contoso Motors,2013,Hybrid,58,58,FWD,Hybrid,Semi-Automatic,White Silver,Smoke White,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
9T9VSN0FI93R6HTIT,Contoso Motors,2014,Truck,59,1,AWD,10 Cylinder,Automatic,Black,Black,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
HHP8M4ES04246X7B6,Contoso Motors,2007,Hatchback,60,147,AWD,6 Cylinder,Automatic,Deep Blue,White,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
H0BRZNH49CP43HKN1,Contoso Motors,2005,Sedan,61,10,FWD,6 Cylinder,Manual,White Silver,Smoke White,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
UHK4NJMODN4CJ8N1Q,Contoso Motors,2013,Sedan,62,154,FWD,6 Cylinder,Manual,Thunder Gray,Gray,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
GTL07WURKAEBZO7KO,Contoso Motors,2007,Sedan,63,214,AWD,6 Cylinder,Manual,Thunder Gray,Gray,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
92S177DVXRBE1PK45,Contoso Motors,2016,Hatchback,64,523,AWD,6 Cylinder,Automatic,Deep Blue,White,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
OIERM0565QG99HAN9,Contoso Motors,2015,Truck,65,266,AWD,10 Cylinder,Automatic,Black,Black,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
7O2VKAE0FELJG5ELK,Contoso Motors,2016,Truck,66,650,AWD,10 Cylinder,Automatic,Black,Black,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
UXXQX95MAJ1FHJRFA,Contoso Motors,2011,Coupe,67,651,AWD,4 Cylinder,Manual,Chili Red,Black,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
A3FQXISX6GIN2G6M2,Contoso Motors,2013,Hybrid,68,68,FWD,Hybrid,Semi-Automatic,Deep Blue,Brown,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
3BY5XUUAB7MS5BOUQ,Contoso Motors,2013,SUV,69,54,AWD,4 Cylinder,Automatic,Blue,Black,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
926ORRXDY9J83POLE,Contoso Motors,2012,Commercial,70,535,AWD,8 Cylinder,Automatic,Gray,Dark Gray,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
V5UOQH37Z6ZUQEVOA,Contoso Motors,2013,Convertible 2DR,71,71,FWD,3 Cylinder,Automatic,Racing Green,Beige,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
EMUKPWIQTTZ8XDAKV,Contoso Motors,2007,SUV,72,534,AWD,6 Cylinder,Automatic,Blue,Black,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
A1LCTSY2WHBDL4RXY,Contoso Motors,2005,SUV,73,582,FWD,10 Cylinder,Automatic,Blue,Black,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
ZPGYKO3SW7RC58YUZ,Contoso Motors,2015,Minivan,74,74,FWD,6 Cylinder,Automatic,Thunder Gray,Gray,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
K0GMEOI4V7EHGGAR6,Contoso Motors,2009,SUV,75,734,FWD,4 Cylinder,Automatic,Blue,Black,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
UOUFX6BWC4G2NU4OA,Contoso Motors,2013,Minivan,76,76,FWD,6 Cylinder,Automatic,Volcanic Orange,White,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
XF1QTSNCM8M3SKNRX,Contoso Motors,2016,SUV,77,782,FWD,Hybrid,Automatic,Blue,Black,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
HOE5ERNKHQA06CAL9,Contoso Motors,2015,Minivan,78,78,FWD,6 Cylinder,Automatic,Blue,Old Lace,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
ST95EH8B8NNG34EE3,Contoso Motors,2013,Minivan,79,79,FWD,6 Cylinder,Automatic,Silver,Ivory,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
TEE607XTPSEPGIOW0,Contoso Motors,2004,Minivan,80,80,FWD,6 Cylinder,Automatic,Deep Blue,Brown,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
SNCE1JI16ORA8TZJ6,Contoso Motors,2015,Minivan,81,81,FWD,6 Cylinder,Automatic,Midnight Black,Silverstone,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
JCGOM1OM7DNYJW6Y9,Contoso Motors,2007,Minivan,82,82,FWD,6 Cylinder,Automatic,White Silver,Smoke White,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
HW67MDOKG6X824CLF,Contoso Motors,2010,Sedan,83,334,FWD,6 Cylinder,Manual,Blue,Old Lace,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
HYP1FSUQ6NQUMLBE5,Contoso Motors,2006,Hatchback,84,575,FWD,6 Cylinder,Automatic,Deep Blue,White,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
6QSTEN3L3M3CZWPKO,Contoso Motors,2015,Sedan,85,394,AWD,6 Cylinder,Manual,Blue,Old Lace,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
W0RXEHZ32SJB3VDX4,Contoso Motors,2014,Sedan,86,573,AWD,6 Cylinder,Manual,Midnight Black,Silverstone,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
RY3FMAG69XTBL0KTX,Contoso Motors,2015,SUV,87,992,RWD,4 Cylinder,Automatic,Blue,Black,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
9QATZSVHST426DAG1,Contoso Motors,2004,Truck,88,889,FWD,10 Cylinder,Automatic,Black,Black,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
CP6TW23WUH9ZHH8GT,Contoso Motors,2015,Convertible 2DR,89,820,RWD,8 Cylinder,Manual,Chili Red,Red,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
VXE1D06K67MWOWEJ3,Contoso Motors,2016,Convertible 2DR,90,822,RWD,8 Cylinder,Automatic,Racing Green,Black,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
GHRJAC7PDRUQ960AF,Contoso Motors,2014,Convertible 2DR,91,848,RWD,8 Cylinder,Manual,White Silver,Gray,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
449PLM0RCNHZ6YHO5,Contoso Motors,2015,Convertible 2DR,92,888,RWD,8 Cylinder,Automatic,Black,Black,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
Q7HBIZ6T7172QJP0U,Contoso Motors,2016,Convertible 2DR,93,800,RWD,8 Cylinder,Manual,Blue,Dark Gray,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
90LR6IH70DMQNV245,Contoso Motors,2016,Convertible 2DR,94,801,RWD,8 Cylinder,Automatic,Volcanic Orange,Black,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
G45XN4SW529YCKBST,Contoso Motors,2013,Hatchback,95,959,AWD,6 Cylinder,Automatic,Deep Blue,White,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
Z94AOEKMF6Q9K32LQ,Contoso Motors,2011,Truck,96,129,FWD,10 Cylinder,Automatic,Black,Black,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
4ZV9MBVJL7K1540ZL,Contoso Motors,2011,SUV,97,41,AWD,Hybrid,Automatic,Blue,Black,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
JB5IZCJJCS4DSPQQM,Contoso Motors,2007,Sedan,98,693,FWD,6 Cylinder,Manual,Racing Green,Beige,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
6XXVJMY80S4CHSUKW,Contoso Motors,2015,Wagon,99,2,FWD,6 Cylinder,Automatic,Deep Blue,White,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
6QLISR018O06X8K44,Contoso Motors,2015,Minivan,100,100,FWD,6 Cylinder,Automatic,Blue,Old Lace,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
L6JHAWNP1IXGNF0SP,Contoso Motors,2004,Crossover,101,43,AWD,Hybrid,Automatic,Blue,Black,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
YQIIQJAOQW46KX2KS,Contoso Motors,2007,Crossover,102,45,AWD,Hybrid,Automatic,Blue,Black,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
MYVBR1ANM44W9A8ZN,Contoso Motors,2012,Commercial,103,598,AWD,8 Cylinder,Automatic,Gray,Dark Gray,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
OXPVYJT8F5CV0QETY,Contoso Motors,2016,Convertible 2DR,104,104,FWD,Hybrid,Automatic,White Silver,Smoke White,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
FO6IFCLO0J6QWI428,Contoso Motors,2016,Coupe,105,275,FWD,4 Cylinder,Manual,Silver,Ivory,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
HQ966AF5RI70ST3Y6,Contoso Motors,2013,Hybrid,106,106,FWD,Hybrid,Semi-Automatic,Blazing Gray,Nutmeg,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
X41MAQ673N3V5XWEG,Contoso Motors,2015,Truck,107,274,FWD,10 Cylinder,Automatic,Black,Black,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
OBY5PK2DEXG66GXJG,Contoso Motors,2007,Hatchback,108,11,FWD,6 Cylinder,Automatic,Deep Blue,White,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
VHA71CU9U064O5HEE,Contoso Motors,2016,Sedan,109,958,FWD,6 Cylinder,Manual,Blue,Old Lace,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
84CFOIJACQGPF9ZDL,Contoso Motors,2007,Sedan,110,18,FWD,6 Cylinder,Manual,Deep Blue,Brown,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
CLARVXUPYK83L0UMN,Contoso Motors,2013,Sedan,111,78,AWD,6 Cylinder,Manual,White Silver,Smoke White,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
VJ5B73VXKJGZWDG0B,Contoso Motors,2006,Hatchback,112,147,FWD,6 Cylinder,Automatic,Deep Blue,White,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
N2S4F51PGIFY8KK2Z,Contoso Motors,2007,Truck,113,395,FWD,12 Cylinder,Automatic,Black,Black,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
XZQSSPJVU0SM7MLWL,Contoso Motors,2004,Truck,114,635,AWD,12 Cylinder,Automatic,Black,Black,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
XMMHB1HUHLP2FEM3Z,Contoso Motors,2006,Coupe,115,883,FWD,4 Cylinder,Manual,Electric Blue,Red,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
CBBAZP0M5MBYTXLF3,Contoso Motors,2013,Hybrid,116,116,FWD,Hybrid,Semi-Automatic,White Silver,Smoke White,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
5L2GJRKV27YOM6Z3R,Contoso Motors,2016,SUV,117,55,FWD,6 Cylinder,Automatic,Blue,Black,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
JVITFBM1K8F6P8O0H,Contoso Motors,2012,Commercial,118,631,AWD,8 Cylinder,Automatic,Gray,Dark Gray,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
0LYX3XH2KQYH4N1HH,Contoso Motors,2016,Convertible 2DR,119,119,FWD,6 Cylinder,Automatic,Electric Blue,Red,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
AD91ZJFRBAZDLZEHD,Contoso Motors,2007,SUV,120,62,FWD,3 Cylinder,Automatic,Blue,Black,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
KCF1B6NPOS4RDK0HR,Contoso Motors,2004,SUV,121,65,FWD,Electric,Automatic,Blue,Black,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
VVR5QYAX0BY9F80GL,Contoso Motors,2015,Minivan,122,122,FWD,6 Cylinder,Automatic,Volcanic Orange,White,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
84WCQ14XBWR8VNEY6,Contoso Motors,2011,Crossover,123,69,FWD,10 Cylinder,Automatic,Blue,Black,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
SV94DVYSPT74V7ROW,Contoso Motors,2004,Minivan,124,124,FWD,6 Cylinder,Automatic,Blue,Old Lace,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
CM6WVRC0NHBFWEITJ,Contoso Motors,2005,SUV,125,70,FWD,12 Cylinder,Automatic,Blue,Black,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
141PHXSEFBVZ60Z6U,Contoso Motors,2007,Minivan,126,126,FWD,6 Cylinder,Automatic,Deep Blue,Brown,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
PRUQC9HEW3JMSEYZL,Contoso Motors,2016,Minivan,127,127,FWD,6 Cylinder,Automatic,Midnight Black,Silverstone,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
VVL9DCWP2BR82PVZT,Contoso Motors,2011,Minivan,128,128,FWD,6 Cylinder,Automatic,White Silver,Smoke White,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
12H3A1VTFIBICG08V,Contoso Motors,2004,Minivan,129,129,FWD,6 Cylinder,Automatic,Racing Green,Beige,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
LW0D9X0CSULXMVFW8,Contoso Motors,2005,Minivan,130,130,FWD,6 Cylinder,Automatic,Blazing Gray,Nutmeg,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
9PZJ20GGBXZNHUWEJ,Contoso Motors,2013,Sedan,131,342,FWD,6 Cylinder,Manual,Thunder Gray,Gray,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
DU8GQ0ORH2QR7MYL6,Contoso Motors,2014,Hatchback,132,155,FWD,6 Cylinder,Automatic,Deep Blue,White,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
0D94JQQVVLFJHGWG3,Contoso Motors,2007,Sedan,133,402,AWD,10 Cylinder,Manual,Volcanic Orange,White,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
P7178468GYLAA3O81,Contoso Motors,2005,Sedan,134,462,RWD,10 Cylinder,Manual,Blue,Old Lace,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
HYY0HVD6WBPS62RQL,Contoso Motors,2011,SUV,135,85,FWD,8 Cylinder,Automatic,Blue,Black,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
YIACHKQLKD47DJ7GZ,Contoso Motors,2016,Truck,136,779,AWD,12 Cylinder,Automatic,Black,Black,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
T5E2KFO1FDN6M7WCH,Contoso Motors,2005,Truck,137,882,FWD,12 Cylinder,Automatic,Black,Black,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
P6GN82OKKZUINQJMH,Contoso Motors,2011,Hatchback,138,387,FWD,6 Cylinder,Automatic,Deep Blue,White,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
IHJIZ2RW4KTMKJNJP,Contoso Motors,2016,Hatchback,139,395,AWD,6 Cylinder,Automatic,Deep Blue,White,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
TV6LN1B3KPQJEH1TZ,Contoso Motors,2016,Minivan,140,140,FWD,6 Cylinder,Automatic,White Silver,Smoke White,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
Z20AU24O1TLEW8IJ7,Contoso Motors,2011,Minivan,141,141,FWD,6 Cylinder,Automatic,Racing Green,Beige,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
RUVB2F10GV9F5KEGZ,Contoso Motors,2005,SUV,142,88,FWD,Electric,Automatic,Blue,Black,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
01MWFV89QBUM2NDIH,Contoso Motors,2013,Hatchback,143,531,FWD,6 Cylinder,Automatic,Deep Blue,White,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
CC9O3GNGXD4IYVHZL,Contoso Motors,2012,Truck,144,19,FWD,12 Cylinder,Automatic,Black,Black,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
RQWE40TVB2JF104UO,Contoso Motors,2007,SUV,145,89,FWD,Hybrid,Automatic,Blue,Black,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
